triple_id,source_type,verb,target_type,cardinality,current_fk,neo4j_edge_type,replaces_edge,status,notes
HCAM-TRP-001,role,assignment,process,N:N,process_list.role_owner,ASSIGNED_TO,OWNED_BY,active,role performs/owns process
HCAM-TRP-002,role,composition,role,1:N,baseline_organisation.reports_to,COMPOSED_OF,REPORTS_TO,active,org hierarchy (parent role composed of its reports)
HCAM-TRP-003,area,composition,area,1:N,area_model.sub_area,COMPOSED_OF,,active,area composed of sub-areas
HCAM-TRP-004,area,aggregation,role,1:N,baseline_organisation.area,AGGREGATES,,active,area aggregates its roles
HCAM-TRP-005,process,composition,process,N:1,process_list.item_parent_1_id;item_parent_2_id,COMPOSED_OF,PARENT_OF,active,process layers project>process>activity>task (APQC)
HCAM-TRP-006,process,realization,capability,N:N,CAPABILITY_REGISTRY.originating_process_ids,REALIZES,,active,process realizes a business capability
HCAM-TRP-007,process,realization,pattern,N:N,process_list.inherited_pattern_id,REALIZES,,active,process realizes/inherits a design pattern
HCAM-TRP-008,process,serving,engagement,N:N,process_list.engagement_template_id,SERVES,PRODUCES_FOR,active,process serves an engagement
HCAM-TRP-009,process,serving,persona,N:N,process_list.persona_id,SERVES,,active,process serves a persona
HCAM-TRP-010,process,access,metric,N:N,semantic_layer.definition_sql_ref,ACCESSES,,planned,process reads/writes a governed metric
HCAM-TRP-011,process,triggering,process,N:N,new,TRIGGERS,,planned,process-to-process handoff (lifecycle)
HCAM-TRP-012,engagement,flow,entity,N:N,ENGAGEMENT_REGISTRY.counterparty_org_id,FLOWS_TO,,active,engagement value flow to counterparty entity
HCAM-TRP-013,engagement,serving,audience,N:N,engagement_model,SERVES,,planned,engagement serves an audience
HCAM-TRP-014,capability,composition,capability,N:1,capability_map,COMPOSED_OF,,planned,capability-map decomposition levels
HCAM-TRP-015,program,aggregation,initiative,1:N,initiative_registry.program_anchors,AGGREGATES,PROGRAM_SUBSUMES,active,program aggregates initiatives
HCAM-TRP-016,decision,influence,area,N:N,decision_register.linked,INFLUENCES,,active,decision influences an area
HCAM-TRP-017,decision,influence,process,N:N,decision_register.linked,INFLUENCES,,active,decision influences a process
HCAM-TRP-018,decision,influence,initiative,N:N,decision_register.linked_initiative_ids,INFLUENCES,,active,decision influences an initiative
HCAM-TRP-019,policy,influence,process,N:N,policy_register,INFLUENCES,,active,policy influences process behavior
HCAM-TRP-020,ops_action,influence,initiative,N:N,ops_register.linked,INFLUENCES,,active,OPS action influences an initiative
HCAM-TRP-021,topic,composition,topic,N:1,topic_registry.parent,COMPOSED_OF,TOPIC_PARENT_OF,active,topic parent/child tree
HCAM-TRP-022,topic,aggregation,source_fact,1:N,intelligence_matrix,AGGREGATES,TOPIC_SUBSUMES,active,topic aggregates facts/sources
HCAM-TRP-023,channel,serving,audience,N:N,channel_touchpoint_registry,SERVES,,active,channel serves an audience
HCAM-TRP-024,canonical,realization,pattern,N:N,frontmatter.inherited_pattern_id,REALIZES,,active,canonical realizes a design pattern
HCAM-TRP-025,persona_scenario,specialization,persona,N:1,persona_scenario_registry.persona_id,SPECIALIZES,,active,scenario specializes a persona
HCAM-TRP-026,metric,access,data_contract,N:N,METRICS_REGISTRY.source_contract_id,ACCESSES,,active,metric reads a contracted data surface
HCAM-TRP-027,component,serving,role,N:N,baseline_organisation.components_used,SERVES,,active,component serves the roles that use it
HCAM-TRP-028,skill,assignment,role,N:N,SKILL_REGISTRY.owner_role,ASSIGNED_TO,,active,skill owned/performed by role (operator add 2026-06-05)
HCAM-TRP-029,use_case,realization,capability,N:N,USE_CASE_ARCHIVE.capability_id,REALIZES,,active,use-case realizes a capability (operator add 2026-06-05)
HCAM-TRP-030,aic,assignment,process,N:N,new,ASSIGNED_TO,,planned,AIC performs a process (operator add 2026-06-05)
HCAM-TRP-031,program,composition,workstream,1:N,new,COMPOSED_OF,,planned,program composed of workstreams (operator add 2026-06-05)
HCAM-TRP-032,workstream,composition,process,1:N,new,COMPOSED_OF,,planned,workstream composed of processes (operator add 2026-06-05)
HCAM-TRP-033,brand,specialization,brand,N:1,brand_architecture,SPECIALIZES,,planned,sub-mark specializes parent brand (operator add 2026-06-05)
HCAM-TRP-034,capability,realization,goal_poi,N:N,new,REALIZES,,planned,capability realizes a goal/outcome
HCAM-TRP-035,area,serving,area,N:N,new,SERVES,,planned,platform area serves stream-aligned areas
HCAM-TRP-036,initiative,composition,workstream,1:N,new,COMPOSED_OF,,planned,initiative composed of workstreams
HCAM-TRP-037,role,assignment,skill,N:N,new,ASSIGNED_TO,,planned,role holds/is-assigned a skill (inverse of TRP-028 view)
HCAM-TRP-038,aic,realization,capability,N:N,aic_capability_implementation_matrix,REALIZES,,active,AIC realizes a capability
HCAM-TRP-039,capability,assignment,role,N:1,CAPABILITY_REGISTRY.role_owner,ASSIGNED_TO,,active,capability owned by a role
HCAM-TRP-040,capability,aggregation,skill,N:N,CAPABILITY_REGISTRY.skill_ids,AGGREGATES,,active,capability aggregates the skills it needs
HCAM-TRP-041,substrate,serving,capability,N:N,CAPABILITY_REGISTRY.substrate_id,SERVES,,active,technology substrate serves a capability
HCAM-TRP-042,use_case,serving,engagement,N:N,USE_CASE_ARCHIVE.engagement_id,SERVES,,active,use-case realised within an engagement
HCAM-TRP-043,goal_poi,influence,process,N:N,GOI_POI_REGISTER.process_item_id,INFLUENCES,,active,goal/POI influences a process
HCAM-TRP-044,goal_poi,influence,program,N:N,GOI_POI_REGISTER.program_id,INFLUENCES,,active,goal/POI influences a program
HCAM-TRP-045,process,realization,data_contract,N:N,DATA_CONTRACT_REGISTRY.producer_process_id,REALIZES,,active,producer process realizes a data-contract interface
HCAM-TRP-046,data_contract,serving,area,N:N,DATA_CONTRACT_REGISTRY.consumer_area_ids,SERVES,,active,data contract serves its consumer areas
HCAM-TRP-047,data_contract,access,data_store,N:1,DATA_CONTRACT_REGISTRY.data_surface,ACCESSES,,active,contract governs one data surface (canonical_csv/mirror_table/fdw_projection/graph)
HCAM-TRP-048,component,realization,bi_consumer,N:1,BI_CONSUMER_REGISTRY.component_id,REALIZES,,active,a component realizes a BI/analytics consumer surface
HCAM-TRP-049,bi_consumer,access,data_store,N:N,BI_CONSUMER_REGISTRY.data_surfaces,ACCESSES,,active,BI consumer reads warehouse/store surfaces
HCAM-TRP-050,area,aggregation,bi_consumer,N:N,AREA_BI_PROFILE.primary_consumer_ids,AGGREGATES,,active,area declares its BI consumers (AREA_BI_PROFILE)
HCAM-TRP-051,bi_consumer,access,metric,N:N,semantic_layer_binding,ACCESSES,,planned,BI consumer binds to define-once metrics (no parallel defs)
HCAM-TRP-052,data_product,composition,data_contract,1:N,data_fam_umbrella,COMPOSED_OF,,planned,data product composed of per-surface data contracts
HCAM-TRP-053,data_product,specialization,capability,N:1,CAPABILITY_REGISTRY.data_fam,SPECIALIZES,,planned,data product is a DATA-FAM capability umbrella
HCAM-TRP-054,data_model,realization,data_store,N:N,dama_conceptual_logical_physical,REALIZES,,planned,logical data model realized in a physical store (DAMA)
HCAM-TRP-055,adapter,serving,data_store,N:N,RPA_ADAPTER_REGISTRY,SERVES,,planned,integration adapter reads/writes store surfaces
HCAM-TRP-056,adapter,access,data_contract,N:N,integration_plane_rule,ACCESSES,,planned,every external ingress declares a data contract
HCAM-TRP-057,data_catalog,aggregation,data_contract,1:N,openmetadata_projection,AGGREGATES,,planned,catalog indexes contracts as L3 read projection
HCAM-TRP-058,data_catalog,aggregation,glossary_term,1:N,openmetadata_glossary,AGGREGATES,,planned,catalog holds the business glossary
HCAM-TRP-059,application,composition,component,1:N,COMPONENT_SERVICE_MATRIX,COMPOSED_OF,,planned,application (HLK-ERP/control plane) composed of components
HCAM-TRP-060,application,access,data_store,N:N,erp_reads_warehouse,ACCESSES,,planned,application reads the T2 warehouse / stores
