counterparty_id,counterparty_type,display_name,service_category,billing_model,commercial_segment,revenue_model,role_owner,process_item_id,repo_slug,component_id,contract_doc_pointer,renewal_review_due,status,pci_phi_pii_scope,confidence_level,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
finops_example_cloud_platform,vendor,Example Cloud Platform (pattern),cloud_compute,usage,na,na,Business Controller,thi_finan_dtp_303,,,docs/wip/planning/14-holistika-internal-gtm-mops/reports/sql-proposal-stack-20260417.md,,active,pii,2,Seed pattern only: replace with real counterparties after operator review. No monetary amounts in this register.,2026-05-14,Business Controller,D-IH-71-CLOSURE,v3.0
finops_example_customer,customer,Example B2B Customer (pattern),na,na,b2b,subscription,Business Controller,thi_finan_dtp_303,,,,,active,none,2,Public-safe label only. No PII. Links to holistika_ops.stripe_customer_link.finops_counterparty_id when populated.,2026-05-14,Business Controller,D-IH-71-CLOSURE,v3.0
finops_supabase,vendor,Supabase Inc.,saas,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active core infrastructure: PostgreSQL + Auth + Storage + Edge Functions hosting all canonical CSV mirrors + ERP DB + Stripe FDW server + holistika_ops + kirbe schemas. SSOT for compliance.*_mirror tables. Evidence: supabase/migrations/ + supabase/functions/ + sync_compliance_mirrors_from_csv.py + plugin-supabase-supabase MCP.,2026-05-23,Business Controller,D-IH-81-U,v3.1
finops_vercel,vendor,Vercel Inc.,saas,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active production hosting: boilerplate (holistikaresearch.com) + hlk-erp + likely other consumer repos per REPOSITORY_REGISTRY hosting_platform=vercel. Pro tier confirmed by Sentry source-map upload + multi-env preview + custom domains. Evidence: user-vercel + plugin-vercel-vercel MCPs; akos-deploy-health.mdc; D-IH-86-AT Vercel deploy regression worked-example.,2026-05-23,Business Controller,D-IH-81-U,v3.1
finops_render,vendor,Render Services Inc.,saas,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active production hosting for class=platform repos: kirbe-platform per Render MCP + plugin-render-render integration + scripts/_templates/render/render-baseline.yaml.tmpl canonical template. Healthcheck pattern documented in akos-deploy-health.mdc Failure 7.,2026-05-23,Business Controller,D-IH-81-U,v3.1
finops_github,vendor,GitHub Inc.,saas,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active source control + CI/CD: private repos for openclaw-akos + hlk-erp + boilerplate + kirbe-platform under FraysaXII organisation; GitHub Actions for ci-baseline workflows per SOP-CICD_BASELINE_001; Team/Pro tier for org features + actions minutes. Evidence: user-github MCP + REPOSITORY_REGISTRY.csv all rows hosted on github.com/FraysaXII/*.,2026-05-23,Business Controller,D-IH-81-U,v3.1
finops_sentry,vendor,Functional Software Inc. (Sentry),observability,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active observability subscription: organisation-level Sentry per docs/references/hlk/v3.0/Envoy Tech Lab/Repositories/SENTRY_DASHBOARD_HOLISTIKA.md (Initiative 68 P4) with canonical release format repo_slug@sha_short; user-sentry + plugin-sentry-sentry MCPs configured; sentry SDK installed across class=platform consumer repos per SOP-CICD_BASELINE_001.,2026-05-23,Business Controller,D-IH-81-U,v3.1
finops_cursor,vendor,Anysphere Inc. (Cursor),productivity,subscription,na,na,Business Controller,thi_finan_dtp_303,,,,,active,none,3,Active operator IDE subscription: Pro or Business tier (operator-pays). This is literally the editor authoring every commit in openclaw-akos and the substrate for cursor rules + skills + plugins + MCP wiring. Evidence: .cursor/ directory at repo root + .cursor/rules/akos-*.mdc + .cursor/skills/*.,2026-05-23,Business Controller,D-IH-81-U,v3.1
finops_anthropic,vendor,Anthropic PBC,saas,usage,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active LLM API subscription (Claude models powering Madeira AIC + downstream agents per HOLISTIKA_AGENTIC_DOCTRINE.md). Usage-based billing (API tokens). Evidence: AKOS doctrine names Madeira as Claude-family AI O5-1; OpenClaw uses Anthropic as primary external LLM provider per AGENTIC_FRAMEWORK_LANDSCAPE.md.,2026-05-23,Business Controller,D-IH-81-U,v3.1
finops_openai,vendor,OpenAI Inc.,saas,usage,na,na,Business Controller,thi_finan_dtp_303,,,,,active,pii,3,Active LLM API subscription (GPT family models + embeddings). Usage-based billing. Evidence: model-catalog config provider entries; AI Gateway provider for AI SDK skills; Vercel AI SDK integration in boilerplate consumer repo; embedder infrastructure per Tech Lab landscape canonical.,2026-05-23,Business Controller,D-IH-81-U,v3.1
