phase,commit_sha,commit_date,change_kind,lines_delta,repo,file_path,file_kind,role_owner,area,entity,decision_ids,process_ids,linked_canonicals,validators_run,requires_operator_gate,change_summary,notes
P0,f88d600,2026-05-15,created,+220,openclaw-akos,.cursor/rules/akos-people-discipline-of-disciplines.mdc,cursor-rule,System Owner,Admin,Holistika,D-IH-79-A;D-IH-79-F;D-IH-79-H;D-IH-79-K;D-IH-79-L;D-IH-79-M;D-IH-79-N,,akos-executable-process-catalog.mdc;akos-brand-baseline-reality.mdc;akos-holistika-operations.mdc;akos-inline-ratification.mdc,validate_hlk.py,no,Always-applied Cursor rule codifying People-as-DoD + agentic-as-DoD-recursive + jargon-goes-to-Tech-Lab + KB-stewardship-is-People + anti-jargon discipline + Madeira role-class pattern,initiative-meta
P0,f88d600,2026-05-15,created,+155,openclaw-akos,docs/wip/planning/79-people-manifesto-and-pattern-library/master-roadmap.md,planning,People Operations Lead,People,Holistika,D-IH-79-A;D-IH-79-B;D-IH-79-C;D-IH-79-D;D-IH-79-E;D-IH-79-F;D-IH-79-G;D-IH-79-H;D-IH-79-I;D-IH-79-J;D-IH-79-K;D-IH-79-L;D-IH-79-M;D-IH-79-N,,master-roadmap.md;Cursor plan,validate_hlk.py,no,Workspace mirror of authoritative Cursor plan; phase ordering + dependencies + decisions + sync rule,initiative-meta
P0,f88d600,2026-05-15,created,+200,openclaw-akos,docs/wip/planning/79-people-manifesto-and-pattern-library/decision-log.md,planning,People Operations Lead,People,Holistika,D-IH-79-A;D-IH-79-B;D-IH-79-C;D-IH-79-D;D-IH-79-E;D-IH-79-F;D-IH-79-G;D-IH-79-H;D-IH-79-I;D-IH-79-J;D-IH-79-K;D-IH-79-L;D-IH-79-M;D-IH-79-N,,DECISION_REGISTER.csv,validate_hlk.py,no,Round 1 + Round 3 decisions D-IH-79-A..N with full rationale + decision_source + 8 deferred conundrums C-79-1..8,initiative-meta
P0,f88d600,2026-05-15,created,+50,openclaw-akos,docs/wip/planning/79-people-manifesto-and-pattern-library/risk-register.md,planning,People Operations Lead,People,Holistika,D-IH-79-A;D-IH-79-H;D-IH-79-N,,risk-register.md,validate_hlk.py,no,15 risk rows with mitigation + owner + close-out phase,initiative-meta
P0,f88d600,2026-05-15,created,+15,openclaw-akos,docs/wip/planning/79-people-manifesto-and-pattern-library/files-modified.csv,planning,People Operations Lead,People,Holistika,D-IH-79-A,,files-modified.csv,validate_hlk.py,no,18-col schema seeded with P0 rows,initiative-meta
P0,f88d600,2026-05-15,created,+90,openclaw-akos,docs/wip/planning/79-people-manifesto-and-pattern-library/reports/p0-charter-report.md,planning,People Operations Lead,People,Holistika,D-IH-79-A,,master-roadmap.md;decision-log.md;risk-register.md,validate_hlk.py,no,P0 charter report — 12-row plan-quality bar self-critique gate PASS + decision_source ledger + ratification log,initiative-meta
P0,f88d600,2026-05-15,modified,+12/-2,openclaw-akos,docs/wip/planning/_templates/INITIATIVE_DEPENDENCIES.md,planning,PMO,Admin,Holistika,D-IH-79-A,,INITIATIVE_DEPENDENCIES.md,validate_hlk.py,no,Add I79 node to mermaid diagram + I73 → I79 hard-block edge + I79 row to per-initiative blocker table + history entry,initiative-meta
P0,f88d600,2026-05-15,modified,+3,openclaw-akos,docs/wip/planning/_templates/README.md,planning,PMO,Admin,Holistika,D-IH-79-A,,README.md;PLANNING_COMPENDIUM.md,validate_hlk.py,no,Update I73 row state to closed + add I79 row to per-initiative state table,initiative-meta
P0,f88d600,2026-05-15,modified,+2,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/INITIATIVE_REGISTRY.csv,canonical,PMO,People,Holistika,D-IH-79-A,tbi_peopl_dtp_initiative_registry_mtnce_001,INITIATIVE_REGISTRY.csv;PRECEDENCE.md,validate_hlk.py,yes,Append INIT-OPENCLAW_AKOS-79 row (status=active; charter-satisfies-gate; 14 linked decisions),canonical CSV gate
P0,f88d600,2026-05-15,modified,+15,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/DECISION_REGISTER.csv,canonical,PMO,People,Holistika,D-IH-79-A;D-IH-79-B;D-IH-79-C;D-IH-79-D;D-IH-79-E;D-IH-79-F;D-IH-79-G;D-IH-79-H;D-IH-79-I;D-IH-79-J;D-IH-79-K;D-IH-79-L;D-IH-79-M;D-IH-79-N,tbi_peopl_dtp_decision_register_mtnce_001,DECISION_REGISTER.csv;decision-log.md,validate_hlk.py,no,Append D-IH-79-A..N (14 rows) with summaries + decision-log path + decision_source notes,initiative-meta
P0,f88d600,2026-05-15,modified,+11,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/OPS_REGISTER.csv,canonical,PMO,People,Holistika,D-IH-79-A,tbi_peopl_dtp_ops_register_mtnce_001,OPS_REGISTER.csv,validate_hlk.py,no,Append OPS-79-1..10 (10 rows) one per phase strand including P3a/P3b split,initiative-meta
P0,f88d600,2026-05-15,modified,+1,openclaw-akos,CHANGELOG.md,changelog,PMO,Admin,Holistika,D-IH-79-A;D-IH-79-H,,CHANGELOG.md,validate_hlk.py,no,P0 charter Unreleased entry — Strand A..F + 14 decisions + 10 OPS rows + Cursor rule mint + dep map sync,initiative-meta
P1,c1c4ab6,2026-05-15,created,+220,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/HOLISTIKA_ORGANISING_DOCTRINE.md,canonical,People Operations Lead,People,Holistika,D-IH-79-A;D-IH-79-B;D-IH-79-G;D-IH-79-H;D-IH-79-K,,PEOPLE_AREA_RESTRUCTURE.md;PRECEDENCE.md;ENGAGEMENT_MODEL_REGISTRY.csv;KB_HUMAN_READABILITY_CHARTER.md,validate_hlk.py,yes,Holistika Organising Doctrine (People manifesto) - 10 sections incl operating story verbatim CPO frame; access_level=5 internal-cleared; jargon-free; Madeira role-class footnote; KB-stewardship across every role; agentic-as-DoD-recursive cross-reference,manifest publish gate (operator AL5 review)
P1,c1c4ab6,2026-05-15,modified,+2,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/PRECEDENCE.md,canonical,Compliance Officer,People,Holistika,D-IH-79-A;D-IH-79-B,,HOLISTIKA_ORGANISING_DOCTRINE.md,validate_hlk.py,no,Register HOLISTIKA_ORGANISING_DOCTRINE.md as canonical asset (Markdown SSOT) with full description per Initiative 22 forward-layout convention,initiative-meta
P2,5d565e1,2026-05-15,created,+15,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PEOPLE_DESIGN_PATTERN_REGISTRY.csv,canonical,Compliance Officer,People,Holistika,D-IH-79-A;D-IH-79-C;D-IH-79-D;D-IH-79-E;D-IH-79-N,tbi_peopl_dtp_design_pattern_registry_mtnce_001,PEOPLE_DESIGN_PATTERN_LIBRARY.md;DECISION_REGISTER.csv;INITIATIVE_REGISTRY.csv;PRECEDENCE.md,validate_design_pattern_registry.py;validate_hlk.py,yes,People Design Pattern Registry CSV - 12-row seed across 10-class taxonomy (register/paired/lifecycle/cross-area/lattice/dual/drift/inline/forward/adapter); FK to DECISION + INITIATIVE; sibling join key for PEOPLE_DESIGN_PATTERN_LIBRARY.md anchors; cross-area inheritance target for process_list 8th col (P6),canonical CSV gate
