phase,commit_sha,commit_date,change_kind,lines_delta,repo,file_path,file_kind,role_owner,area,entity,decision_ids,process_ids,linked_canonicals,validators_run,requires_operator_gate,change_summary,notes
P95-regression,akos-pending,2026-06-09,created,n/a,openclaw-akos,docs/wip/planning/95-canonical-articulation-model/files-modified.csv,planning,Data Governance Office,Data,Holistika,D-IH-95-A,,,validate_hlk.py;verify.py pre_commit_fast,no,Seed mandatory per-initiative file-changes CSV (18-col schema); historical backfill tracked as OPS-95-3,initiative-meta; F-13 fix-now seed
P95-regression,akos-pending,2026-06-09,created,n/a,openclaw-akos,docs/wip/planning/95-canonical-articulation-model/reports/i95-full-regression-2026-06-09.md,planning,Data Governance Office,Data,Holistika,D-IH-95-L;D-IH-95-M,,,validate_hlk.py;verify.py pre_commit_fast,no,Mint two-scope full regression report (commit-chain audit + intent-ranked sweep) with findings + dispositions,initiative-meta
P95-regression,akos-pending,2026-06-09,modified,n/a,openclaw-akos,docs/wip/planning/95-canonical-articulation-model/reports/i95-pmo-status-sweep-2026-06-09.md,planning,Data Governance Office,Data,Holistika,D-IH-95-M,,,validate_hlk.py,no,Add regression verdict line + queue refresh (L3 tranche-5; OPS-95-2/3; proposals pending),initiative-meta
P95-regression,akos-pending,2026-06-09,modified,n/a,openclaw-akos,docs/wip/planning/95-canonical-articulation-model/decision-log.md,planning,Data Governance Office,Data,Holistika,D-IH-95-J;D-IH-95-K,,,validate_hlk.py,no,Add missing D-IH-95-J + D-IH-95-K narrative sections (register-vs-log parity F-01),initiative-meta
P95-regression,akos-pending,2026-06-09,modified,n/a,openclaw-akos,CHANGELOG.md,changelog,Data Governance Office,Data,Holistika,D-IH-95-K;D-IH-95-L;D-IH-95-M,,,validate_hlk.py,no,Back-coverage entry for 7 uncovered commits + stale PENDING-OPERATOR/deferred claims corrected (F-02/F-03),
P95-regression,akos-pending,2026-06-09,data-row-append,+2,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/OPS_REGISTER.csv,canonical,PMO,Admin,Holistika,D-IH-95-G;D-IH-73-D;D-IH-95-A,,OPS_REGISTER.csv,validate_hlk.py,yes,Append OPS-95-2 (engagement_model_id backfill) + OPS-95-3 (files-modified backfill),flagged canonical append per regression task contract
P95-regression,akos-pending,2026-06-09,modified,n/a,openclaw-akos,docs/wip/intelligence/neo4j-funding-escalation-radar-2026-06-09.md,data,Business Controller,Research,Holistika,D-IH-95-L;D-IH-95-M,,,validate_hlk.py,no,Mark D-IH-95-M ratified (FQ table closed; draft-decision line corrected) (F-04),
P95-regression,akos-pending,2026-06-09,modified,n/a,openclaw-akos,docs/wip/intelligence/neo4j-graph-infrastructure-funding-research-area-2026-06-09.md,data,Business Controller,Research,Holistika,D-IH-95-L;D-IH-95-M,,,validate_hlk.py,no,Mark D-IH-95-M ratified in frontmatter + body (F-04),
P95-regression,akos-pending,2026-06-09,cross-ref-update,n/a,openclaw-akos,docs/wip/planning/95-canonical-articulation-model/reports/i95-neo4j-credential-recovery-2026-06-09.md,planning,Data Governance Office,Data,Holistika,D-IH-95-L,,,validate_hlk.py,no,Fix 2 broken repo-root relative links (F-05),
P95-regression,akos-pending,2026-06-09,cross-ref-update,n/a,openclaw-akos,docs/wip/planning/95-canonical-articulation-model/reports/i95-neo4j-free-backup-restore-charter-2026-06-09.md,planning,Data Governance Office,Data,Holistika,D-IH-95-L,,,validate_hlk.py,no,Fix 4 broken repo-root relative links (F-05),
