decision_id,title,initiating_initiative_id,linked_initiative_ids,linked_ops_action_ids,linked_policies,linked_topic_ids,decision_class,status,reversibility,decided_at,decision_log_path,supersedes_decision_id,summary,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
D-IH-59-A,Atomic dimension landing,INIT-OPENCLAW_AKOS-59,,,,,architecture,active,low,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,Five new HLK governance dimensions land in a single P1 commit; no partial / sequential rollout.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-B,"Two-layer SSOT (markdown for prose, CSV for metadata)",INIT-OPENCLAW_AKOS-59,,,,,architecture,active,low,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,Markdown stays canonical for narrative; CSVs become canonical for queryable metadata. Sync gates enforce agreement.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-C,REPOSITORY_REGISTRY promotion path,INIT-OPENCLAW_AKOS-59,,,,,architecture,active,low,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,"REPOSITORIES_REGISTRY.md and REPOSITORY_REGISTRY.csv are joint canonicals (markdown for prose, CSV for FK target).",,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-D,Status taxonomy ownership at akos.planning.status_taxonomy,INIT-OPENCLAW_AKOS-59,,,,,architecture,active,low,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,Seven-value StrEnum (closed/archived/active/continuous/program_line/gated_external/gated_operator) + companion-field rules.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-E,DECISION_REGISTER inclusion in I59,INIT-OPENCLAW_AKOS-59,,,,,architecture,active,low,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,Folded into I59 (vs I60 deferral) so initiative_registry's *_decision_id fields can be real FKs from day one.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-F,"Nullable FKs (manifests_processes, coordinated_initiative_ids)",INIT-OPENCLAW_AKOS-59,,,,,execution,active,medium,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,"Empty is explicit and fine; wrong is not. Validators FK-resolve when set, allow empty.",,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-G,manifests_processes column on INITIATIVE_REGISTRY (vs inverse),INIT-OPENCLAW_AKOS-59,,,,,architecture,active,low,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,FK lives on the initiative side as a semicolon-list to process_list.csv; reverse-lookup via mirror queries.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-H,Header-only seed for INITIATIVE/OPS/CYCLE/DECISION in P1; bulk seed in P3,INIT-OPENCLAW_AKOS-59,,,,,execution,active,medium,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,Avoids circular FK pressure during validator runs; P3 lockstep seed against fully-populated peer tables.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-I,Two new SOPs at status: review until G-59-D in P9,INIT-OPENCLAW_AKOS-59,,,,,governance,active,medium,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,SOP-INITIATIVE_GOVERNANCE_001 + SOP-INITIATIVE_PROCESS_HARMONISATION_001 ship at review state; ratified at P9.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-J,OPS-58-3 rubric calibration fix lands in I59 P6 (not deferred to I60),INIT-OPENCLAW_AKOS-59,,,,,scope,active,medium,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,_heuristic_persona_fit gets persona context from scenario.persona_id so cross-persona alignment lifts above 80%.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-K,Telemetry promotion routine runs once in I59 P7 (in operator's stead),INIT-OPENCLAW_AKOS-59,,,,,execution,active,medium,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,Auto-merge forbidden per I49 P11 / I50 P5; agent runs the proposal pass and operator merges at next sitting.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-L,Process_list mints deferred to I60 candidate,INIT-OPENCLAW_AKOS-59,,,,,scope,active,medium,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,I59 P8 ships the harmonisation proposal + new SOP; actual minting per-tranche is operator-approval-gated and out of scope here.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-M,process_list mint authority chain: SOP-META + role_owner + tranche operator approval,INIT-OPENCLAW_AKOS-59,,,,,governance,active,medium,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,No agent minting. Tranches authored under reports/process-list-mint-proposal-*.md and decision-log entries.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-59-N,I59 closure UAT requires zero advisory warnings under --strict on the 8 new validators,INIT-OPENCLAW_AKOS-59,,,,,execution,active,medium,2026-05-06,docs/wip/planning/59-hlk-governance-clean-slate/decision-log.md,,P10 closure gate flips advisory→strict on validate_master_roadmap_frontmatter and the 3 sync gates.,,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-02-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-02,INIT-OPENCLAW_AKOS-02,,,,,closure,active,low,2026-04-14,docs/wip/planning/02-hlk-on-akos-madeira/decision-log.md,,Closes INIT-OPENCLAW_AKOS-02 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-07-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-07,INIT-OPENCLAW_AKOS-07,,,,,closure,active,low,2026-04-15,docs/wip/planning/07-hlk-neo4j-graph-projection/decision-log.md,,Closes INIT-OPENCLAW_AKOS-07 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-10-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-10,INIT-OPENCLAW_AKOS-10,,,,,closure,active,low,2026-04-15,docs/wip/planning/10-madeira-eval-hardening/decision-log.md,,Closes INIT-OPENCLAW_AKOS-10 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-15-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-15,INIT-OPENCLAW_AKOS-15,,,,,closure,active,low,2026-04-20,docs/wip/planning/15-hlk-api-lifecycle-governance/decision-log.md,,Closes INIT-OPENCLAW_AKOS-15 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-18-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-18,INIT-OPENCLAW_AKOS-18,,,,,closure,active,low,2026-04-23,docs/wip/planning/18-hlk-finops-counterparty-stripe/decision-log.md,,Closes INIT-OPENCLAW_AKOS-18 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-21-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-21,INIT-OPENCLAW_AKOS-21,,,,,closure,active,low,2026-04-28,docs/wip/planning/21-hlk-adviser-engagement-and-goipoi/decision-log.md,,Closes INIT-OPENCLAW_AKOS-21 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-22-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-22,INIT-OPENCLAW_AKOS-22,,,,,closure,active,low,2026-04-29,docs/wip/planning/22-hlk-scalability-and-i21-closures/decision-log.md,,Closes INIT-OPENCLAW_AKOS-22 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-23-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-23,INIT-OPENCLAW_AKOS-23,,,,,closure,active,low,2026-04-29,docs/wip/planning/23-hlk-program-registry-and-program-2/decision-log.md,,Closes INIT-OPENCLAW_AKOS-23 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-25-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-25,INIT-OPENCLAW_AKOS-25,,,,,closure,active,low,2026-04-29,docs/wip/planning/25-hlk-topic-graph-and-km-scalability/decision-log.md,,Closes INIT-OPENCLAW_AKOS-25 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-26-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-26,INIT-OPENCLAW_AKOS-26,,,,,closure,active,low,2026-04-29,docs/wip/planning/26-hlk-ops-hardening/decision-log.md,,Closes INIT-OPENCLAW_AKOS-26 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-28-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-28,INIT-OPENCLAW_AKOS-28,,,,,closure,active,low,2026-05-05,docs/wip/planning/28-investor-style-company-dossier/decision-log.md,,Closes INIT-OPENCLAW_AKOS-28 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-29-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-29,INIT-OPENCLAW_AKOS-29,,,,,closure,active,low,2026-05-05,docs/wip/planning/29-multi-phase-consolidation/decision-log.md,,Closes INIT-OPENCLAW_AKOS-29 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-30-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-30,INIT-OPENCLAW_AKOS-30,,,,,closure,active,low,2026-05-05,docs/wip/planning/30-deck-moat-surgery/decision-log.md,,Closes INIT-OPENCLAW_AKOS-30 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
D-IH-31-CLOSURE,Closure decision for INIT-OPENCLAW_AKOS-31,INIT-OPENCLAW_AKOS-31,,,,,closure,active,low,2026-05-05,docs/wip/planning/31-holistik-ops-discovery/decision-log.md,,Closes INIT-OPENCLAW_AKOS-31 (status: closed); seeded from INITIATIVE_REGISTRY.csv during I59 P3.,auto-seeded from initiative_registry; verify prose body in decision-log.md,2026-05-14,Founder,D-IH-71-CLOSURE,v3.0
