canonical_id,name,owning_area,owning_role,file_path,artifact_type,supabase_schema,mirror_table,view_name,panel_slot,classification,confidentiality,last_review,validator,status,notes
brand_vision,Brand Vision,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_VISION.md,md,marketing_brand,,,,way_of_working;selling_point,partner,2026-05-12,validate_brand_vision_drift.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_architecture,Brand Architecture,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_ARCHITECTURE.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_canon_drift.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_voice_foundation,Brand Voice Foundation,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_VOICE_FOUNDATION.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_voice_register.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_register_matrix,Brand Register Matrix,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_REGISTER_MATRIX.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_voice_register.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_french_patterns,Brand French Patterns,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_FRENCH_PATTERNS.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_voice_register.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_spanish_patterns,Brand Spanish Patterns,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_SPANISH_PATTERNS.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_voice_register.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_english_patterns,Brand English Patterns,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_ENGLISH_PATTERNS.md,md,marketing_brand,,,,way_of_working,partner,2026-05-14,validate_brand_voice_register.py,active,I71 P1 Pack A1: EN locale canonical mirroring FR/ES patterns (per-region register matrix + MBA-deck jargon refuse-list + performative-EN + LLM-tone-tells alignment).
brand_llm_tone_tells,Brand LLM Tone Tells,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_LLM_TONE_TELLS.md,md,marketing_brand,,,,way_of_working,partner,2026-05-14,validate_brand_voice_register.py,active,I71 P1 Pack A1 Layer 8: anti-LLM-tone EN-corporate catalog (strict-day-1 per C-71-8 operator override; complementary to BRAND_COPYWRITING_DISCIPLINE §2 structural tics).
brand_localised_formats,Brand Localised Formats (per-locale number/currency/date),Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_LOCALISED_FORMATS.md,md,marketing_brand,,,,way_of_working,partner,2026-05-14,validate_brand_gantt_confidence.py,active,I71 P2 Addition 11: per-locale number (1234.56 → en 1,234.56 / fr 1 234,56 / es 1.234,56) + currency (EUR symbol position) + date (ISO 8601 + per-locale natural-long/short) format discipline; chassis surfaces NumberFormatRule/CurrencyFormatRule/DateFormatRule; co-located in Pack A2 walker per design-time pick.
brand_validators_readme,Brand canonicals/_validators/ index,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/_validators/README.md,md,marketing_brand,,,,way_of_working,partner,2026-05-14,validate_brand_voice_register.py,active,I71 P1 Pack A1: brand-wide _validators/ folder index for operator-editable YAML rule packs (register-pack.yml).
brand_visual_patterns,Brand Visual Patterns,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_VISUAL_PATTERNS.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_canon_drift.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_logo_system,Brand Logo System,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_LOGO_SYSTEM.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_canon_drift.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_cobranding_pattern,Brand Cobranding Pattern,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_COBRANDING_PATTERN.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_canon_drift.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_jargon_audit,Brand Jargon Audit,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_JARGON_AUDIT.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_jargon.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_baseline_reality_matrix,Brand Baseline Reality Matrix,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_BASELINE_REALITY_MATRIX.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_baseline_reality_drift.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_abbreviations,Brand Abbreviations,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_ABBREVIATIONS.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_jargon.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_do_dont,Brand Do/Don't,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_DO_DONT.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
brand_template_registry,Brand Template Registry,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_TEMPLATE_REGISTRY.md,md,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_dossier_companion_drift.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
sop_brand_template_registry_mtnce_001,SOP Brand Template Registry Maintenance 001,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/SOP-BRAND_TEMPLATE_REGISTRY_MTNCE_001.md,sop,marketing_brand,,,,way_of_working,partner,2026-05-12,,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
sop_brand_voice_drift_triage_001,SOP Brand Voice Drift Triage 001,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/SOP-BRAND_VOICE_DRIFT_TRIAGE_001.md,sop,marketing_brand,,,,way_of_working,partner,2026-05-12,validate_brand_voice_register.py,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
service_offering_catalog,Service Offering Catalog,Marketing,Brand,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/SERVICE_OFFERING_CATALOG.md,md,marketing_brand,,,,way_of_working;selling_point,partner,2026-05-12,,active,Phase 4.5 wave 1 federates Brand canonicals (pilot test).
precedence,Precedence Ledger,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/PRECEDENCE.md,md,people_compliance,,,,way_of_working;fact,internal,2026-05-12,validate_hlk.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
access_levels,Access Levels,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/access_levels.md,md,people_compliance,,,,way_of_working,internal,2026-05-12,,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
confidence_levels,Confidence Levels,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/confidence_levels.md,md,people_compliance,,,,way_of_working,internal,2026-05-12,,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
source_taxonomy,Source Taxonomy,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/source_taxonomy.md,md,people_compliance,,,,way_of_working,internal,2026-05-12,,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
hlk_km_topic_fact_source,HLK KM Topic-Fact-Source,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/HLK_KM_TOPIC_FACT_SOURCE.md,md,people_compliance,,,,way_of_working;fact,internal,2026-05-12,validate_hlk.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
sop_meta_process_mgmt_001,SOP Meta Process Management 001,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/SOP-META_PROCESS_MGMT_001.md,sop,people_compliance,,,,way_of_working,internal,2026-05-12,validate_hlk.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
readme_compliance,Compliance README,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/README.md,md,people_compliance,,,,way_of_working,internal,2026-05-12,,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
decision_register,Decision Register,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/DECISION_REGISTER.csv,csv,people_compliance,compliance.decision_register_mirror,,,fact,confidential,2026-05-12,validate_decision_register.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
initiative_registry,Initiative Registry,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/INITIATIVE_REGISTRY.csv,csv,people_compliance,compliance.initiative_registry_mirror,,,fact,confidential,2026-05-12,validate_hlk.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
ops_register,OPS Register,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/OPS_REGISTER.csv,csv,people_compliance,compliance.ops_register_mirror,,,fact,confidential,2026-05-12,validate_hlk.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
baseline_organisation,Baseline Organisation,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/baseline_organisation.csv,csv,people_compliance,compliance.baseline_organisation_mirror,,,fact,confidential,2026-05-12,validate_hlk.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
process_list,Process List,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/process_list.csv,csv,people_compliance,compliance.process_list_mirror,,,fact,confidential,2026-05-12,validate_hlk.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
classification_lattice,Classification Lattice,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CLASSIFICATION_LATTICE.md,md,people_compliance,,,,way_of_working;fact,internal,2026-05-12,validate_hlk.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
goi_poi_register,GOI/POI Register,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/GOI_POI_REGISTER.csv,csv,people_compliance,compliance.goipoi_register_mirror,,,fact,confidential,2026-05-12,validate_goipoi_register.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
repository_registry,Repository Registry,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/REPOSITORY_REGISTRY.csv,csv,people_compliance,compliance.repository_registry_mirror,,,fact,confidential,2026-05-12,,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
finops_counterparty_register,FINOPS Counterparty Register,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/FINOPS_COUNTERPARTY_REGISTER.csv,csv,people_compliance,compliance.finops_counterparty_register_mirror,,,fact,confidential,2026-05-12,validate_hlk.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
adviser_engagement_disciplines,Adviser Engagement Disciplines,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/ADVISER_ENGAGEMENT_DISCIPLINES.csv,csv,people_compliance,compliance.adviser_engagement_disciplines_mirror,,,fact,confidential,2026-05-12,validate_adviser_disciplines.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
adviser_open_questions,Adviser Open Questions,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/ADVISER_OPEN_QUESTIONS.csv,csv,people_compliance,compliance.adviser_open_questions_mirror,,,fact,confidential,2026-05-12,validate_adviser_questions.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
founder_filed_instruments,Founder Filed Instruments,People,Compliance,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/FOUNDER_FILED_INSTRUMENTS.csv,csv,people_compliance,compliance.founder_filed_instruments_mirror,,,fact,confidential,2026-05-12,validate_founder_filed_instruments.py,active,Phase 4.5 wave 2 promotes compliance master + dimensions to People/Compliance/canonicals/ (L6 CPO master home).
