initiative_id,repo_slug,folder_path,title,status,cycle_id,owner_role,inception_date,last_review,closed_at,archived_at,superseded_by,continuous_rationale,cadence,gated_on,operator_action,inception_decision_id,closure_decision_id,manifests_processes,linked_topic_ids,program_anchors,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
INIT-OPENCLAW_AKOS-01,openclaw-akos,docs/wip/planning/01-akos-full-roadmap/,AKOS Full Roadmap,continuous,,PMO,,2026-04-15,,,,In-repo mirror of the Cursor execution roadmap for AKOS; maintained as phases evolve rather than a one-shot closure.,,,,,,,,PRJ-HOL-PGF-2026;PRJ-HOL-INF-2026,seeded by I59 P3 audit pass,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-02,openclaw-akos,docs/wip/planning/02-hlk-on-akos-madeira/,HLK On AKOS Madeira Roadmap,closed,,PMO,,2026-04-14,2026-04-14,,,,,,,,D-IH-02-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-03,openclaw-akos,docs/wip/planning/03-hlk-km-knowledge-base/,HLK governed KM — workspace master roadmap,active,,PMO,,2026-04-08,,,,,,,,,,,,PRJ-HOL-PGF-2026;PRJ-HOL-DAT-2026,seeded by I59 P3 audit pass,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-04,openclaw-akos,docs/wip/planning/04-holistika-company-formation/,Holistika company formation — master roadmap,program_line,,PMO,,2026-04-15,,,,,event_driven,,,,,,,PRJ-HOL-FOUNDING-2026,seeded by I59 P3 audit pass,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-05,openclaw-akos,docs/wip/planning/05-hlk-vault-envoy-repos/,Initiative 05 — HLK v3.0 Envoy repository hub + entity placement,archived,,PMO,,2026-05-05,,2026-05-05,INIT-OPENCLAW_AKOS-32,,,,,,,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-06,openclaw-akos,docs/wip/planning/06-planning-backlog-registry/,Planning backlog registry (cross-initiative SSOT),continuous,,PMO,,2026-04-15,,,,Cross-initiative backlog index by design; maintained whenever linked initiatives or backlog rows move.,,,,,,,,PRJ-HOL-PGF-2026;PRJ-HOL-OPS-2026,seeded by I59 P3 audit pass,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-07,openclaw-akos,docs/wip/planning/07-hlk-neo4j-graph-projection/,Initiative 07: HLK Neo4j graph projection,closed,,PMO,,2026-04-15,2026-04-15,,,,,,,,D-IH-07-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-08,openclaw-akos,docs/wip/planning/08-python-runtime-deployment/,"Initiative 08 — Python runtime, deployment, operator journey, Neo4j graph stack",program_line,,PMO,,2026-04-15,,,,,event_driven,,,,,,,PRJ-HOL-INF-2026,seeded by I59 P3 audit pass,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-09,openclaw-akos,docs/wip/planning/09-openclaw-hygiene/,"Initiative 09 — OpenClaw hygiene (gateway SSOT, security audit, bootstrap, CLI updates)",archived,,PMO,,2026-04-16,,2026-04-16,INIT-OPENCLAW_AKOS-10,,,,,,,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-10,openclaw-akos,docs/wip/planning/10-madeira-eval-hardening/,"Initiative 10 — Madeira Path B+C, SOTA quality, eval harness",closed,,PMO,,2026-04-15,2026-04-15,,,,,,,,D-IH-10-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-11,openclaw-akos,docs/wip/planning/11-madeira-ops-copilot/,"Initiative 11 — Madeira day-to-day ops copilot (SOTA-informed, governance-safe)",active,,PMO,,2026-04-15,,,,,,,,,,,,PRJ-HOL-MAD-2026;PRJ-HOL-INF-2026,seeded by I59 P3 audit pass,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-12,openclaw-akos,docs/wip/planning/12-madeira-research-request/,Initiative 12 — MADEIRA external research request,archived,,PMO,,2026-05-17,,2026-05-17,INIT-OPENCLAW_AKOS-84,,,,,,,,,,Vendor-handoff lineage superseded (archived) by I84 continuous Research-area substrate-audit discipline per D-IH-84-CLOSURE 2026-05-17. Note: enum has no 'superseded' value; archived + superseded_by captures the supersession semantics.,2026-05-17,Founder,D-IH-84-CLOSURE,v3.1
INIT-OPENCLAW_AKOS-13,openclaw-akos,docs/wip/planning/13-madeira-research-followthrough/,Initiative 13 — MADEIRA research follow-through (SOTA-aligned),archived,,PMO,,2026-05-17,,2026-05-17,INIT-OPENCLAW_AKOS-84,,,,,,,,,,Follow-through lineage superseded (archived) by I84 continuous Research-area substrate-audit discipline per D-IH-84-CLOSURE 2026-05-17. Note: enum has no 'superseded' value; archived + superseded_by captures the supersession semantics.,2026-05-17,Founder,D-IH-84-CLOSURE,v3.1
INIT-OPENCLAW_AKOS-14,openclaw-akos,docs/wip/planning/14-holistika-internal-gtm-mops/,Initiative 14 — Holistika internal GTM and marketing operations (HLK-aligned),program_line,,PMO,,2026-04-18,,,,,weekly,,,,,,,PRJ-HOL-MKT-2026;PRJ-HOL-OPS-2026,seeded by I59 P3 audit pass,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-15,openclaw-akos,docs/wip/planning/15-hlk-api-lifecycle-governance/,Initiative 15 — HLK API lifecycle governance + component matrix,closed,,PMO,,2026-04-20,2026-04-20,,,,,,,,D-IH-15-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-16,openclaw-akos,docs/wip/planning/16-hlk-finops-vendor-ssot/,Initiative 16 — FINOPS vendor SSOT + Supabase mirror,archived,,PMO,,2026-04-23,,2026-04-23,INIT-OPENCLAW_AKOS-18,,,,,,,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-17,openclaw-akos,docs/wip/planning/17-madeira-cursor-mode-parity/,Initiative 17 — MADEIRA Cursor mode parity (Ask / Plan / Run),active,,PMO,,2026-04-15,,,,,,,,,,,,PRJ-HOL-MAD-2026;PRJ-HOL-INF-2026,seeded by I59 P3 audit pass,2026-05-17,PMO,D-IH-86-H,v3.1
INIT-OPENCLAW_AKOS-18,openclaw-akos,docs/wip/planning/18-hlk-finops-counterparty-stripe/,Initiative 18 — FINOPS counterparty SSOT + Stripe FDW,closed,,PMO,,2026-04-23,2026-04-23,,,,,,,,D-IH-18-CLOSURE,,,,seeded by I59 P3 audit pass,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0
INIT-OPENCLAW_AKOS-19,openclaw-akos,docs/wip/planning/19-hlk-finops-ledger/,Initiative 19 — FINOPS finops.* ledger (Phase C),program_line,,PMO,,2026-04-23,,,,,event_driven,,,,,,,PRJ-HOL-FIN-2026,seeded by I59 P3 audit pass,2026-05-17,PMO,D-IH-86-H,v3.1
